Ime,Leto,Velikost,Cena,Regija
"BROD, TACEN, PRENOVLJENO",1959,80.6,285000.0,ljubljana-mesto
LJ. BEŽIGRAD,2022,71.0,336000.0,ljubljana-mesto
LJ. BEŽIGRAD,2023,84.0,311200.0,ljubljana-mesto
LJ. BEŽIGRAD,2022,233.6,606279.6,ljubljana-mesto
"LJ. BEŽIGRAD, BS 3",1982,78.0,295000.0,ljubljana-mesto
"LJ. BEŽIGRAD, PENTAHUS STANOVANJE S TERASO IN LEPIM RAZGLEDO...",1980,128.0,450000.0,ljubljana-mesto
LJ. CENTER,1999,99.6,388000.0,ljubljana-mesto
LJ. CENTER,2022,109.0,877000.0,ljubljana-mesto
LJ. CENTER,1907,207.5,3750.0,ljubljana-mesto
"LJ. CENTER, 1A LOKACIJA S PARKIRANJEM",2010,136.4,371000.0,ljubljana-mesto
"LJ. CENTER, ILIRSKA ULICA, PRI UKC, VISOKI STROPI, MOŽNOST N...",1900,53.0,215000.0,ljubljana-mesto
"LJ. CENTER, ŽUPANČIČEVA ULICA",2023,77.85,410535.0,ljubljana-mesto
LJ. MOSTE,1961,69.3,289000.0,ljubljana-mesto
LJ. MOSTE,2006,214.0,990000.0,ljubljana-mesto
"LJ. MOSTE, 1A LOKACIJA Z 2X PARKIRANJEM",2012,65.1,255000.0,ljubljana-mesto
"LJ. MOSTE, ŠTEPANJSKO NASELJE, OB SOTOČJU",1974,99.4,320000.0,ljubljana-mesto
LJ. ŠIŠKA,1960,39.9,165000.0,ljubljana-mesto
LJ. ŠIŠKA,1958,69.3,225000.0,ljubljana-mesto
LJ. VIČ,1963,72.6,245000.0,ljubljana-mesto
"LJ. VIČ, BLIZU CENTRA",2004,117.0,397000.0,ljubljana-mesto
RUDNIK,2021,140.5,444110.0,ljubljana-mesto
"RUDNIK, LAVRICA",2022,55.15,231000.0,ljubljana-mesto
"RUDNIK, LAVRICA",2022,66.42,279500.0,ljubljana-mesto
"RUDNIK, LAVRICA",2022,83.32,312000.0,ljubljana-mesto
"RUDNIK, LONDON - S10",2023,50.15,280404.32,ljubljana-mesto
SP. ŠIŠKA,2022,122.95,598000.0,ljubljana-mesto
"ŠENTVID, ATRIJ, OPREMLJENO",2018,138.2,519000.0,ljubljana-mesto
ŠTEPANJSKO NASELJE,1977,18.1,112500.0,ljubljana-mesto
TACEN,2010,7348.0,4990000.0,ljubljana-mesto
TRNOVO,2022,219.1,999000.0,ljubljana-mesto
